Month,TotalNumber,AverageAmount,MaleNumber,AverageMaleAmount,FemaleNumber,AverageFemaleAmount,
Jan-75,"151,615",$202.94 ,"94,956",$224.81 ,"56,659",$166.27 ,
Feb-75,"110,555",$195.32 ,"66,899",$219.05 ,"43,656",$158.95 ,
Mar-75,"135,611",$194.87 ,"81,448",$218.69 ,"54,163",$159.05 ,
Apr-75,"130,311",$194.05 ,"77,396",$218.78 ,"52,915",$157.88 ,
May-75,"153,002",$194.14 ,"90,062",$219.47 ,"62,940",$157.91 ,
Jun-75,"91,705",$214.97 ,"56,599",$237.87 ,"35,106",$178.05 ,
Jul-75,"134,181",$216.94 ,"80,147",$243.07 ,"54,034",$178.19 ,
Aug-75,"131,737",$213.72 ,"78,949",$240.50 ,"52,788",$173.67 ,
Sep-75,"123,870",$212.24 ,"73,356",$240.84 ,"50,514",$170.70 ,
Oct-75,"122,103",$213.43 ,"72,877",$241.27 ,"49,226",$172.20 ,
Nov-75,"108,924",$212.15 ,"63,646",$241.73 ,"45,278",$170.56 ,
Dec-75,"112,092",$212.07 ,"65,955",$241.30 ,"46,137",$170.28 ,
Jan-76,"166,080",$224.85 ,"103,699",$251.37 ,"62,381",$180.78 ,
Feb-76,"116,165",$215.75 ,"69,007",$245.18 ,"47,158",$172.69 ,
Mar-76,"145,759",$216.27 ,"86,204",$245.33 ,"59,555",$174.20 ,
Apr-76,"126,794",$215.80 ,"74,898",$245.58 ,"51,896",$172.82 ,
May-76,"120,211",$217.35 ,"70,484",$248.55 ,"49,727",$173.12 ,
Jun-76,"119,806",$236.37 ,"73,453",$264.51 ,"46,353",$191.78 ,
Jul-76,"129,551",$235.71 ,"76,095",$267.22 ,"53,456",$190.86 ,
Aug-76,"90,716",$232.79 ,"52,125",$269.30 ,"38,591",$183.47 ,
Sep-76,"114,797",$232.31 ,"67,084",$265.68 ,"47,713",$185.39 ,
Oct-76,"117,563",$232.33 ,"68,342",$266.47 ,"49,221",$184.92 ,
Nov-76,"117,288",$233.24 ,"68,603",$267.00 ,"48,685",$185.66 ,
Dec-76,"110,855",$232.75 ,"64,587",$267.04 ,"46,268",$184.87 ,
Jan-77,"155,023",$244.86 ,"94,907",$276.43 ,"60,116",$195.01 ,
Feb-77,"110,902",$236.48 ,"66,914",$269.60 ,"43,988",$186.09 ,
Mar-77,"176,729",$238.79 ,"104,859",$272.13 ,"71,870",$190.15 ,
Apr-77,"90,282",$237.63 ,"53,837",$271.23 ,"36,445",$187.99 ,
May-77,"177,424",$238.93 ,"104,349",$273.17 ,"73,075",$190.05 ,
Jun-77,"86,688",$257.08 ,"52,119",$293.31 ,"34,569",$202.46 ,
Jul-77,"149,372",$254.81 ,"86,294",$291.90 ,"63,078",$204.06 ,
Aug-77,"142,598",$255.17 ,"83,334",$292.69 ,"59,264",$202.41 ,
Sep-77,"133,955",$255.05 ,"78,163",$294.01 ,"55,792",$200.48 ,
Oct-77,"128,211",$254.15 ,"74,473",$292.95 ,"53,738",$200.38 ,
Nov-77,"121,064",$254.44 ,"70,151",$294.04 ,"50,913",$199.89 ,
Dec-77,"121,219",$254.33 ,"70,357",$293.97 ,"50,862",$199.50 ,
Jan-78,"148,810",$268.51 ,"91,570",$305.02 ,"57,240",$210.10 ,
Feb-78,"120,095",$258.88 ,"70,899",$298.63 ,"49,196",$201.58 ,
Mar-78,"135,612",$262.16 ,"79,637",$301.46 ,"55,975",$206.25 ,
Apr-78,"124,376",$259.97 ,"71,824",$300.99 ,"52,552",$203.90 ,
May-78,"168,447",$260.77 ,"96,936",$301.78 ,"71,511",$205.18 ,
Jun-78,"55,030",$279.27 ,"32,975",$317.25 ,"22,055",$222.47 ,
Jul-78,"152,529",$277.86 ,"86,348",$322.84 ,"66,181",$219.16 ,
Aug-78,"115,752",$277.34 ,"65,199",$325.26 ,"50,553",$215.55 ,
Sep-78,"126,240",$280.60 ,"71,842",$327.76 ,"54,398",$218.31 ,
Oct-78,"115,260",$278.89 ,"65,877",$326.02 ,"49,383",$216.01 ,
Nov-78,"102,082",$277.53 ,"58,090",$325.13 ,"43,992",$214.68 ,
Dec-78,"115,476",$277.89 ,"65,546",$325.43 ,"49,930",$215.48 ,
Jan-79,"153,455",$296.81 ,"93,385",$339.46 ,"60,070",$230.50 ,
Feb-79,"116,487",$282.46 ,"67,906",$329.03 ,"48,581",$217.36 ,
Mar-79,"148,732",$287.85 ,"85,891",$334.85 ,"62,841",$223.61 ,
Apr-79,"150,063",$289.41 ,"87,013",$336.31 ,"63,050",$224.67 ,
May-79,"168,285",$288.52 ,"97,590",$335.04 ,"70,695",$224.30 ,
Jun-79,"90,122",$313.62 ,"52,261",$366.34 ,"37,861",$240.84 ,
Jul-79,"144,024",$317.93 ,"82,627",$370.35 ,"61,397",$247.38 ,
Aug-79,"120,878",$314.92 ,"69,550",$369.38 ,"51,328",$241.13 ,
Sep-79,"137,152",$320.19 ,"81,021",$373.12 ,"56,131",$243.78 ,
Oct-79,"132,099",$318.18 ,"77,037",$372.54 ,"55,062",$242.12 ,
Nov-79,"119,883",$317.94 ,"69,325",$372.50 ,"50,558",$243.14 ,
Dec-79,"115,923",$314.47 ,"66,600",$370.01 ,"49,323",$239.48 ,
Jan-80,"151,106",$323.54 ,"91,059",$373.75 ,"60,047",$247.40 ,
Feb-80,"139,347",$329.82 ,"84,492",$382.76 ,"54,855",$248.28 ,
Mar-80,"153,877",$321.08 ,"90,381",$374.32 ,"63,496",$245.30 ,
Apr-80,"139,441",$315.00 ,"80,394",$369.38 ,"59,047",$240.97 ,
May-80,"160,608",$316.49 ,"93,012",$369.98 ,"67,596",$242.89 ,
Jun-80,"102,154",$358.77 ,"59,901",$418.20 ,"42,253",$274.52 ,
Jul-80,"134,873",$355.14 ,"76,741",$416.90 ,"58,132",$273.61 ,
Aug-80,"144,824",$361.77 ,"84,550",$425.71 ,"60,274",$272.06 ,
Sep-80,"137,011",$363.17 ,"80,354",$425.88 ,"56,657",$274.23 ,
Oct-80,"132,140",$359.79 ,"76,622",$423.49 ,"55,518",$271.86 ,
Nov-80,"108,881",$360.09 ,"62,766",$424.52 ,"46,115",$272.40 ,
Dec-80,"115,838",$359.25 ,"66,501",$424.28 ,"49,337",$271.60 ,
Jan-81,"182,475",$378.93 ,"113,502",$436.65 ,"68,973",$283.95 ,
Feb-81,"124,420",$359.48 ,"73,656",$419.30 ,"50,764",$272.70 ,
Mar-81,"148,304",$360.81 ,"86,181",$422.28 ,"62,123",$275.53 ,
